"fov","x_global_px","y_global_px"
1,-498383.333333333,6475
2,-498383.333333333,2208.33333333333
3,-498383.333333333,-2058.33333333333
4,-498383.333333333,-6325
5,-498383.333333333,-10591.6666666667
6,-498383.333333333,-14858.3333333333
7,-494116.666666667,-23991.6666666667
8,-494116.666666667,-19725
9,-494116.666666667,-15458.3333333333
10,-494116.666666667,-11191.6666666667
11,-494116.666666667,-6925
12,-494116.666666667,-2658.33333333333
13,-494116.666666667,1608.33333333333
14,-494116.666666667,5875
15,-494116.666666667,10141.6666666667
16,-494116.666666667,14400
17,-489850,18750
18,-489850,14483.3333333333
19,-489850,10225
20,-489850,5958.33333333333
21,-489850,1691.66666666667
22,-489850,-2575
23,-489850,-6841.66666666667
24,-489850,-11108.3333333333
25,-489850,-15375
26,-489850,-19641.6666666667
27,-489850,-23908.3333333333
28,-489850,-28175
29,-485583.333333333,-30425
30,-485583.333333333,-26158.3333333333
31,-485583.333333333,-21891.6666666667
32,-485583.333333333,-17625
33,-485583.333333333,-13358.3333333333
34,-485583.333333333,-9091.66666666667
35,-485583.333333333,-4825
36,-485583.333333333,-558.333333333333
37,-485583.333333333,3708.33333333333
38,-485583.333333333,7975
39,-485583.333333333,12233.3333333333
40,-485583.333333333,16500
41,-485583.333333333,20766.6666666667
42,-481325,25200
43,-481325,20933.3333333333
44,-481325,16666.6666666667
45,-481325,12400
46,-481325,8141.66666666667
47,-481325,3875
48,-481325,-391.666666666667
49,-481325,-4658.33333333333
50,-481325,-8925
51,-481325,-13191.6666666667
52,-481325,-17458.3333333333
53,-481325,-21725
54,-481325,-25991.6666666667
55,-481325,-30258.3333333333
56,-477058.333333333,-30425
57,-477058.333333333,-26158.3333333333
58,-477058.333333333,-21891.6666666667
59,-477058.333333333,-17625
60,-477058.333333333,-13358.3333333333
61,-477058.333333333,-9091.66666666667
62,-477058.333333333,-4825
63,-477058.333333333,-558.333333333333
64,-477058.333333333,3708.33333333333
65,-477058.333333333,7975
66,-477058.333333333,12233.3333333333
67,-477058.333333333,16500
68,-477058.333333333,20766.6666666667
69,-477058.333333333,25033.3333333333
70,-472791.666666667,25033.3333333333
71,-472791.666666667,20766.6666666667
72,-472791.666666667,16500
73,-472791.666666667,12233.3333333333
74,-472791.666666667,7975
75,-472791.666666667,3708.33333333333
76,-472791.666666667,-558.333333333333
77,-472791.666666667,-4825
78,-472791.666666667,-9091.66666666667
79,-472791.666666667,-13358.3333333333
80,-472791.666666667,-17625
81,-472791.666666667,-21891.6666666667
82,-472791.666666667,-26158.3333333333
83,-468525,-21891.6666666667
84,-468525,-17625
85,-468525,-13358.3333333333
86,-468525,-9091.66666666667
87,-468525,-4825
88,-468525,-558.333333333333
89,-468525,3708.33333333333
90,-468525,7975
91,-468525,12233.3333333333
92,-468525,16500
93,-468525,20766.6666666667
94,-468525,25033.3333333333
95,-464258.333333333,25033.3333333333
96,-464258.333333333,20766.6666666667
97,-464258.333333333,16500
98,-464258.333333333,12233.3333333333
99,-464258.333333333,7975
100,-464258.333333333,3708.33333333333
101,-464258.333333333,-558.333333333333
102,-464258.333333333,-4825
103,-464258.333333333,-9091.66666666667
104,-464258.333333333,-13358.3333333333
105,-464258.333333333,-17625
106,-464258.333333333,-21891.6666666667
107,-459991.666666667,-22308.3333333333
108,-459991.666666667,-18041.6666666667
109,-459991.666666667,-13775
110,-459991.666666667,-9508.33333333333
111,-459991.666666667,-5241.66666666667
112,-459991.666666667,-975
113,-459991.666666667,3291.66666666667
114,-459991.666666667,7558.33333333333
115,-459991.666666667,11816.6666666667
116,-459991.666666667,16083.3333333333
117,-459991.666666667,20350
118,-459991.666666667,24616.6666666667
119,-455725,23783.3333333333
120,-455725,19516.6666666667
121,-455725,15250
122,-455725,10983.3333333333
123,-455725,6725
124,-455725,2458.33333333333
125,-455725,-1808.33333333333
126,-455725,-6075
127,-455725,-10341.6666666667
128,-455725,-14608.3333333333
129,-455725,-18875
130,-455725,-23141.6666666667
